No,Kode_Provinsi,Provinsi,Kode_Lokasi,Kabupaten_Kota,Kode_Desa,Nama_Desa,Pagu
404,10,JAMBI,1004,KAB. SAROLANGUN,1503022023,Suka Damai,1008309000
405,10,JAMBI,1004,KAB. SAROLANGUN,1503032002,Bernai,1255884000
406,10,JAMBI,1004,KAB. SAROLANGUN,1503032003,Sungai Baung,895866000
407,10,JAMBI,1004,KAB. SAROLANGUN,1503032004,Panti,842878000
408,10,JAMBI,1004,KAB. SAROLANGUN,1503032005,Tinting,788600000
409,10,JAMBI,1004,KAB. SAROLANGUN,1503032006,Sungai Abang,737513000
410,10,JAMBI,1004,KAB. SAROLANGUN,1503032013,Lidung,1138964000
411,10,JAMBI,1004,KAB. SAROLANGUN,1503032014,Ladang Panjang,1174596000
412,10,JAMBI,1004,KAB. SAROLANGUN,1503032024,Desa Baru,738703000
413,10,JAMBI,1004,KAB. SAROLANGUN,1503032027,Ujung Tanjung,668805000
414,10,JAMBI,1004,KAB. SAROLANGUN,1503032028,Bernai Dalam,718531000
415,10,JAMBI,1004,KAB. SAROLANGUN,1503042001,Pangidaran,754460000
416,10,JAMBI,1004,KAB. SAROLANGUN,1503042002,Karang Mendapo,984665000
417,10,JAMBI,1004,KAB. SAROLANGUN,1503042003,Batu Ampar,737818000
418,10,JAMBI,1004,KAB. SAROLANGUN,1503042004,Batu Kucing,733901000
419,10,JAMBI,1004,KAB. SAROLANGUN,1503042006,Semaran,796422000
420,10,JAMBI,1004,KAB. SAROLANGUN,1503042007,Kasang Melintang,1110146000
421,10,JAMBI,1004,KAB. SAROLANGUN,1503042008,Pangkal Bulian,879275000
422,10,JAMBI,1004,KAB. SAROLANGUN,1503042009,Lubuk Napal,913136000
423,10,JAMBI,1004,KAB. SAROLANGUN,1503042010,Sepintun,864981000
424,10,JAMBI,1004,KAB. SAROLANGUN,1503042011,Lamban Sigatal,938340000
425,10,JAMBI,1004,KAB. SAROLANGUN,1503042020,Seko Besar,791770000
426,10,JAMBI,1004,KAB. SAROLANGUN,1503042021,Taman Bandung,855583000
427,10,JAMBI,1004,KAB. SAROLANGUN,1503042022,Danau Serdang,783610000
428,10,JAMBI,1004,KAB. SAROLANGUN,1503052001,Penegah,785504000
429,10,JAMBI,1004,KAB. SAROLANGUN,1503052002,Pelawan,966171000
430,10,JAMBI,1004,KAB. SAROLANGUN,1503052003,Pulauaro,788915000
431,10,JAMBI,1004,KAB. SAROLANGUN,1503052004,Bukit,856644000
432,10,JAMBI,1004,KAB. SAROLANGUN,1503052005,Lubuk Sepuh,1112372000
433,10,JAMBI,1004,KAB. SAROLANGUN,1503052006,Rantau Tenang,772891000
434,10,JAMBI,1004,KAB. SAROLANGUN,1503052007,Muara Danau,792016000
435,10,JAMBI,1004,KAB. SAROLANGUN,1503052013,Sungai Merah,1220083000
436,10,JAMBI,1004,KAB. SAROLANGUN,1503052016,Pematang Kulim,1210980000
437,10,JAMBI,1004,KAB. SAROLANGUN,1503052017,Batu Putih,898119000
438,10,JAMBI,1004,KAB. SAROLANGUN,1503052019,Mekar Sari,1060397000
439,10,JAMBI,1004,KAB. SAROLANGUN,1503052021,Pasar Pelawan,818555000
440,10,JAMBI,1004,KAB. SAROLANGUN,1503052022,Pelawan Jaya,1023288000
