Kode_Desa,Nama_Desa,Tahun,iqr_flag,if_score,if_flag,lof_score,lof_flag,rda_score,rda_flag,consensus_flag,persistence_score,priority_tier
1504012004,Sengkati Baru,2023,0,0.10320984677959882,0,2.1463317341267167,1,4.631858e-05,0,1,1.0,Tier 1 – High Priority
1504012004,Sengkati Baru,2023,1,0.03643724035327722,0,0.9974393117969302,0,0.00010723968,0,0,1.0,Tier 1 – High Priority
1504012004,Sengkati Baru,2023,0,0.16961308241664752,0,1.8055471337451217,1,0.00013566515,0,1,1.0,Tier 1 – High Priority
1504012004,Sengkati Baru,2023,0,0.12716626394320563,0,0.9943732184086578,0,9.187885e-05,0,0,1.0,Tier 1 – High Priority
1504012004,Sengkati Baru,2023,0,0.14633361065783973,0,1.355622256761834,0,1.7770366e-05,0,0,1.0,Tier 1 – High Priority
1504012004,Sengkati Baru,2023,0,0.11913246817175066,0,1.079261619922853,0,2.5457823e-05,0,0,1.0,Tier 1 – High Priority
1504012004,Sengkati Baru,2023,0,0.15750519298153393,0,1.0549429372410866,0,5.439089e-05,0,0,1.0,Tier 1 – High Priority
1504012004,Sengkati Baru,2023,0,0.16172794134759905,0,1.1947988422793352,0,3.221261e-05,0,0,1.0,Tier 1 – High Priority
1504012004,Sengkati Baru,2023,0,0.15402657859010022,0,1.0293525843834666,0,9.568279e-05,0,0,1.0,Tier 1 – High Priority
1504012004,Sengkati Baru,2023,1,-0.14221790165017212,1,1.173700728929163,0,0.00020753557,0,0,1.0,Tier 1 – High Priority
1504012004,Sengkati Baru,2023,0,0.11603455685514175,0,1.1383773704584599,0,3.8376915e-05,0,0,1.0,Tier 1 – High Priority
1504012004,Sengkati Baru,2023,0,-0.02719679259219976,1,1.0,0,0.00025280044,0,0,1.0,Tier 1 – High Priority
1504012005,Kembang Tanjung,2023,0,-0.005927149558133227,1,1.0672446081528868,0,0.0007355083,1,1,1.0,Tier 1 – High Priority
1504012005,Kembang Tanjung,2023,0,0.15247008911083426,0,1.1467643001535655,0,2.4724863e-05,0,0,1.0,Tier 1 – High Priority
1504012005,Kembang Tanjung,2023,0,0.12944311135370618,0,1.0027744083790364,0,0.00013623967,0,0,1.0,Tier 1 – High Priority
1504012005,Kembang Tanjung,2023,0,0.13211321058315117,0,1.0748257236320349,0,9.172549e-05,0,0,1.0,Tier 1 – High Priority
1504012005,Kembang Tanjung,2023,1,0.05305459672348761,0,1.7936920619818066,1,0.000100309655,0,1,1.0,Tier 1 – High Priority
